# index, sex, race, grade, school, _pos
425,2,5,10,1,"array([23.99316805,  8.8077349 ])"
426,2,1,9,1,"array([24.08352336, 10.49248082])"
427,2,1,10,1,"array([23.33998511,  9.8541902 ])"
428,2,1,11,1,"array([23.2124477 ,  9.78653596])"
429,2,1,11,1,"array([22.70573009,  8.42542173])"
430,1,1,11,1,"array([23.345913  , 10.69252249])"
431,1,1,9,1,"array([25.23140115,  9.83818112])"
432,1,1,11,1,"array([23.54621553, 11.00381445])"
433,1,1,9,1,"array([24.51163208, 10.12398985])"
434,1,1,9,1,"array([25.92299109,  9.56455069])"
435,2,1,12,1,"array([22.22367205, 10.30854309])"
436,2,2,10,1,"array([25.52417586,  8.35948475])"
437,1,2,12,1,"array([24.76342671,  7.75021499])"
438,1,1,11,1,"array([22.37802076,  8.2583135 ])"
439,1,2,11,1,"array([24.75142739,  8.03287063])"
440,1,2,9,1,"array([25.97860196,  9.22803929])"
441,2,1,10,1,"array([23.12336729, 11.08756105])"
442,1,1,10,1,"array([24.37649263,  8.26792937])"
443,1,3,12,1,"array([22.71184882, 10.62202167])"
444,1,1,12,1,"array([23.43025844,  7.30428709])"
445,1,1,9,1,"array([24.45794908,  9.8596798 ])"
446,1,1,11,1,"array([22.75141706, 10.54239116])"
447,2,5,10,1,"array([23.51238751,  8.45824955])"
448,2,1,10,1,"array([23.72426399,  9.71148045])"
449,2,1,11,1,"array([22.64525701,  9.1803494 ])"
450,2,1,11,1,"array([22.94610225, 10.81684611])"
451,1,3,12,1,"array([21.3744162 , 10.83954933])"
452,1,1,10,1,"array([23.29564349, 10.92007921])"
453,1,3,11,1,"array([24.11661061,  8.52048384])"
454,2,1,11,1,"array([22.86938586,  8.26166805])"
455,2,1,10,1,"array([23.99443626,  9.0016091 ])"
456,1,4,11,1,"array([22.82167507,  7.5766674 ])"
457,2,1,10,1,"array([24.43637549,  8.97853346])"
458,1,2,9,1,"array([22.47960365, 10.87072984])"
459,2,3,12,1,"array([25.22217564,  5.80362846])"
460,2,1,12,1,"array([22.74262606,  9.38504056])"
